"CAINC1 Personal Income Summary: Personal Income, Population, Per Capita Personal Income"
"" 
"Bureau of Economic Analysis" 
"Metropolitan Statistical Area"
"GeoFips","GeoName","LineCode","Description","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999"
"12020","Athens-Clarke County, GA (Metropolitan Statistical Area)","3","Per capita personal income (dollars) 2/",7623,8533,9141,10046,10830,11542,12570,13127,14132,15318,16089,16431,17016,17772,18443,19567,20573,21148,22402,22996
"12060","Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)","1","Personal income (thousands of dollars)",23755858,26827948,29069283,32382541,37264505,41718654,46111602,50350752,55371110,59512828,64033797,66969658,72962981,78347953,84778242,92783942,101611806,109575090,122480229,132283706
"12060","Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)","2","Population (persons) 1/",2352155,2403406,2453618,2516569,2593856,2689442,2784902,2881787,2965367,3033139,3104221,3195398,3291991,3402250,3523718,3644699,3765817,3888398,4021410,4157862
"12060","Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)","3","Per capita personal income (dollars) 2/",10100,11162,11848,12868,14366,15512,16558,17472,18673,19621,20628,20958,22164,23028,24059,25457,26983,28180,30457,31815
"12100","Atlantic City-Hammonton, NJ (Metropolitan Statistical Area)","1","Personal income (thousands of dollars)",2386106,2735574,2921164,3177478,3586003,3831249,4099040,4343758,4747699,4945472,5065020,4796490,5394249,5662193,5805053,6268051,6682656,7028062,7337971,7562811
"12100","Atlantic City-Hammonton, NJ (Metropolitan Statistical Area)","2","Population (persons) 1/",194566,195984,196548,199168,202752,206045,209388,212581,217445,221589,225431,228763,231612,234288,236589,239212,242152,244771,247863,250432
"12100","Atlantic City-Hammonton, NJ (Metropolitan Statistical Area)","3","Per capita personal income (dollars) 2/",12264,13958,14862,15954,17687,18594,19576,20433,21834,22318,22468,20967,23290,24168,24536,26203,27597,28713,29605,30199
"12220","Auburn-Opelika, AL (Metropolitan Statistical Area)","1","Personal income (thousands of dollars)",571438,627182,665335,737201,818528,879390,932599,993407,1074858,1199799,1263716,1337279,1461242,1552650,1657056,1784325,1872181,2018792,2169346,2303096
"12220","Auburn-Opelika, AL (Metropolitan Statistical Area)","2","Population (persons) 1/",76610,77777,79001,79121,80289,81176,82776,82681,84601,85851,87735,89508,91572,94295,96057,99386,102185,106578,109936,112898
"12220","Auburn-Opelika, AL (Metropolitan Statistical Area)","3","Per capita personal income (dollars) 2/",7459,8064,8422,9317,10195,10833,11267,12015,12705,13975,14404,14940,15957,16466,17251,17953,18321,18942,19733,20400
"12260","Augusta-Richmond County, GA-SC (Metropolitan Statistical Area)","1","Personal income (thousands of dollars)",3191499,3573855,3989271,4319593,4897233,5387174,5841699,6047138,6491268,7142251,7801627,8156486,8750900,9017776,9417837,9798542,10231097,10683901,11419057,11916699
"12260","Augusta-Richmond County, GA-SC (Metropolitan Statistical Area)","2","Population (persons) 1/",390476,393411,398117,403081,409893,418761,427630,429399,432054,436235,446200,459773,474398,476818,483333,489089,490788,496030,500636,504895
"12260","Augusta-Richmond County, GA-SC (Metropolitan Statistical Area)","3","Per capita personal income (dollars) 2/",8173,9084,10020,10716,11948,12865,13661,14083,15024,16372,17485,17740,18446,18912,19485,20034,20846,21539,22809,23602
"12420","Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)","1","Personal income (thousands of dollars)",5676806,6636769,7620658,8803015,10311423,11666538,12187544,12383763,13117712,14083859,15544953,16505681,18131918,19850908,21711558,23996690,26309157,29242714,33990403,38176788
"12420","Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)","2","Population (persons) 1/",589582,605961,633452,668303,707646,758510,793109,807392,817153,831848,851898,880678,912833,949788,988925,1031557,1073037,1111264,1155579,1205898
"12420","Austin-Round Rock-Georgetown, TX (Metropolitan Statistical Area)","3","Per capita personal income (dollars) 2/",9629,10952,12030,13172,14571,15381,15367,15338,16053,16931,18247,18742,19863,20900,21955,23263,24518,26315,29414,31658
"12540","Bakersfield, CA (Metropolitan Statistical Area)","1","Personal income (thousands of dollars)",4498790,4819966,5253132,5467802,6028100,6466455,6902908,7159440,7851244,8365507,9089058,9706159,10190092,10682018,10926342,11322808,11936703,12276732,13034202,13408479
"12540","Bakersfield, CA (Metropolitan Statistical Area)","2","Population (persons) 1/",406407,418877,433698,446961,459411,474243,486217,497910,510980,527922,549535,569346,589897,599843,614707,620201,626719,634695,643016,655428
"12540","Bakersfield, CA (Metropolitan Statistical Area)","3","Per capita personal income (dollars) 2/",11070,11507,12112,12233,13121,13635,14197,14379,15365,15846,16540,17048,17274,17808,17775,18257,19046,19343,20270,20458
"12580","Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)","1","Personal income (thousands of dollars)",24628751,27264037,29340768,31328742,34416475,37069457,39775035,42482919,46438466,49698479,52649611,54612636,57198936,59178785,61769826,64703504,67881395,71926659,77241641,82273178
"12580","Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)","2","Population (persons) 1/",2203385,2214413,2220748,2228439,2244735,2255970,2285633,2309719,2340870,2360610,2390543,2418136,2440078,2458038,2475364,2490370,2501453,2513492,2525266,2540307
"12580","Baltimore-Columbia-Towson, MD (Metropolitan Statistical Area)","3","Per capita personal income (dollars) 2/",11178,12312,13212,14059,15332,16432,17402,18393,19838,21053,22024,22585,23441,24076,24954,25981,27137,28616,30588,32387
"12620","Bangor, ME (Metropolitan Statistical Area)","1","Personal income (thousands of dollars)",1130404,1233592,1318547,1423485,1571009,1663854,1763093,1924212,2126846,2296550,2369319,2427871,2537917,2641980,2748288,2813406,2933552,3069151,3244052,3380462
"12620","Bangor, ME (Metropolitan Statistical Area)","2","Population (persons) 1/",137228,137952,138020,138101,138488,138654,139169,140207,142639,145402,147046,147315,146435,146752,147000,145724,145356,144910,144574,144902
"12620","Bangor, ME (Metropolitan Statistical Area)","3","Per capita personal income (dollars) 2/",8237,8942,9553,10308,11344,12000,12669,13724,14911,15794,16113,16481,17331,18003,18696,19306,20182,21180,22439,23329
"12700","Barnstable Town, MA (Metropolitan Statistical Area)","1","Personal income (thousands of dollars)",1650105,1884653,2110736,2322750,2673043,2952928,3250014,3609563,3929722,4047024,4324877,4390932,4695441,5029717,5348810,5724396,6153648,6543178,7112759,7697609
"12700","Barnstable Town, MA (Metropolitan Statistical Area)","2","Population (persons) 1/",148847,152189,154460,157320,162135,166578,171633,176215,181137,184642,187335,189165,191595,194830,198533,202874,206852,210380,214497,218960
"12700","Barnstable Town, MA (Metropolitan Statistical Area)","3","Per capita personal income (dollars) 2/",11086,12384,13665,14764,16487,17727,18936,20484,21695,21918,23086,23212,24507,25816,26942,28217,29749,31102,33160,35155
"12940","Baton Rouge, LA (Metropolitan Statistical Area)","1","Personal income (thousands of dollars)",5794087,6544973,7021091,7409501,7934245,8318930,8282498,8349337,8944025,9685431,10505643,11167565,12227368,12720232,13643641,14340950,15038603,15646016,16616130,17212927
"12940","Baton Rouge, LA (Metropolitan Statistical Area)","2","Population (persons) 1/",616887,629470,641928,652140,656970,660608,660308,652064,647939,646296,648009,657862,669807,679884,687147,694120,701312,709007,716245,724139
"12940","Baton Rouge, LA (Metropolitan Statistical Area)","3","Per capita personal income (dollars) 2/",9392,10398,10938,11362,12077,12593,12543,12804,13804,14986,16212,16976,18255,18709,19855,20661,21444,22068,23199,23770
"12980","Battle Creek, MI (Metropolitan Statistical Area)","1","Personal income (thousands of dollars)",1339901,1452074,1516735,1553984,1638441,1757818,1850392,1979736,2065989,2213983,2323434,2438165,2590929,2677654,2839825,2937277,3039351,3245454,3355539,3417748
